step_index,test_name,workload,duration_s,rep,traj_file
1,test1_sandbox_ransom_slowburn,sandbox_ransom_slowburn,600,1,run_matrix_test1_sandbox_ransom_slowburn.npy.apf_trajectory.jsonl
2,test2_sandbox_ransom_batched,sandbox_ransom_batched,600,1,run_matrix_test2_sandbox_ransom_batched.npy.apf_trajectory.jsonl
3,test3_sandbox_ransom_selective,sandbox_ransom_selective,600,1,run_matrix_test3_sandbox_ransom_selective.npy.apf_trajectory.jsonl
4,test4_sandbox_ransom_seq,sandbox_ransom_seq,600,1,run_matrix_test4_sandbox_ransom_seq.npy.apf_trajectory.jsonl
5,test5_sandbox_scanner_metadata,sandbox_scanner_metadata,600,1,run_matrix_test5_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
6,test6_mem_pagefault_density_v2,mem_pagefault_density_v2,600,1,run_matrix_test6_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
7,test7_mem_mmap_traversal_v2,mem_mmap_traversal_v2,600,1,run_matrix_test7_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
8,test8_mem_workingset_sweep_v2,mem_workingset_sweep_v2,600,1,run_matrix_test8_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
9,test9_sandbox_ransom_slowburn,sandbox_ransom_slowburn,600,2,run_matrix_test9_sandbox_ransom_slowburn.npy.apf_trajectory.jsonl
10,test10_sandbox_ransom_batched,sandbox_ransom_batched,600,2,run_matrix_test10_sandbox_ransom_batched.npy.apf_trajectory.jsonl
11,test11_sandbox_ransom_selective,sandbox_ransom_selective,600,2,run_matrix_test11_sandbox_ransom_selective.npy.apf_trajectory.jsonl
12,test12_sandbox_ransom_seq,sandbox_ransom_seq,600,2,run_matrix_test12_sandbox_ransom_seq.npy.apf_trajectory.jsonl
13,test13_sandbox_scanner_metadata,sandbox_scanner_metadata,600,2,run_matrix_test13_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
14,test14_mem_pagefault_density_v2,mem_pagefault_density_v2,600,2,run_matrix_test14_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
15,test15_mem_mmap_traversal_v2,mem_mmap_traversal_v2,600,2,run_matrix_test15_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
16,test16_mem_workingset_sweep_v2,mem_workingset_sweep_v2,600,2,run_matrix_test16_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
