step_index,test_name,workload,duration_s,rep,traj_file
1,test1_cpu_hash_loop_v2,cpu_hash_loop_v2,300,1,run_matrix_test1_cpu_hash_loop_v2.npy.apf_trajectory.jsonl
2,test2_cpu_matrix_mult_v2,cpu_matrix_mult_v2,300,1,run_matrix_test2_cpu_matrix_mult_v2.npy.apf_trajectory.jsonl
3,test3_cpu_branch_random_v2,cpu_branch_random_v2,300,1,run_matrix_test3_cpu_branch_random_v2.npy.apf_trajectory.jsonl
4,test4_cache_hot_loop_v2,cache_hot_loop_v2,300,1,run_matrix_test4_cache_hot_loop_v2.npy.apf_trajectory.jsonl
5,test5_cache_cold_scan_v2,cache_cold_scan_v2,300,1,run_matrix_test5_cache_cold_scan_v2.npy.apf_trajectory.jsonl
6,test6_cache_stride_sweep_v2,cache_stride_sweep_v2,300,1,run_matrix_test6_cache_stride_sweep_v2.npy.apf_trajectory.jsonl
7,test7_mem_random_write_pages_v2,mem_random_write_pages_v2,300,1,run_matrix_test7_mem_random_write_pages_v2.npy.apf_trajectory.jsonl
8,test8_mem_stride_sweep_large_v2,mem_stride_sweep_large_v2,300,1,run_matrix_test8_mem_stride_sweep_large_v2.npy.apf_trajectory.jsonl
9,test9_io_read_cache_hit_v2,io_read_cache_hit_v2,300,1,run_matrix_test9_io_read_cache_hit_v2.npy.apf_trajectory.jsonl
10,test10_io_direct_write_like_v2,io_direct_write_like_v2,300,1,run_matrix_test10_io_direct_write_like_v2.npy.apf_trajectory.jsonl
11,test11_thread_lock_contention_v2,thread_lock_contention_v2,300,1,run_matrix_test11_thread_lock_contention_v2.npy.apf_trajectory.jsonl
12,test12_thread_producer_consumer_v2,thread_producer_consumer_v2,300,1,run_matrix_test12_thread_producer_consumer_v2.npy.apf_trajectory.jsonl
13,test13_thread_parallel_alloc_v2,thread_parallel_alloc_v2,300,1,run_matrix_test13_thread_parallel_alloc_v2.npy.apf_trajectory.jsonl
14,test14_mixed_mem_io_v2,mixed_mem_io_v2,300,1,run_matrix_test14_mixed_mem_io_v2.npy.apf_trajectory.jsonl
15,test15_mixed_cpu_mem_v2,mixed_cpu_mem_v2,300,1,run_matrix_test15_mixed_cpu_mem_v2.npy.apf_trajectory.jsonl
16,test16_mixed_cpu_io_v2,mixed_cpu_io_v2,300,1,run_matrix_test16_mixed_cpu_io_v2.npy.apf_trajectory.jsonl
17,test17_cpu_hash_loop_v2,cpu_hash_loop_v2,300,2,run_matrix_test17_cpu_hash_loop_v2.npy.apf_trajectory.jsonl
18,test18_cpu_matrix_mult_v2,cpu_matrix_mult_v2,300,2,run_matrix_test18_cpu_matrix_mult_v2.npy.apf_trajectory.jsonl
19,test19_cpu_branch_random_v2,cpu_branch_random_v2,300,2,run_matrix_test19_cpu_branch_random_v2.npy.apf_trajectory.jsonl
20,test20_cache_hot_loop_v2,cache_hot_loop_v2,300,2,run_matrix_test20_cache_hot_loop_v2.npy.apf_trajectory.jsonl
21,test21_cache_cold_scan_v2,cache_cold_scan_v2,300,2,run_matrix_test21_cache_cold_scan_v2.npy.apf_trajectory.jsonl
22,test22_cache_stride_sweep_v2,cache_stride_sweep_v2,300,2,run_matrix_test22_cache_stride_sweep_v2.npy.apf_trajectory.jsonl
23,test23_mem_random_write_pages_v2,mem_random_write_pages_v2,300,2,run_matrix_test23_mem_random_write_pages_v2.npy.apf_trajectory.jsonl
24,test24_mem_stride_sweep_large_v2,mem_stride_sweep_large_v2,300,2,run_matrix_test24_mem_stride_sweep_large_v2.npy.apf_trajectory.jsonl
25,test25_io_read_cache_hit_v2,io_read_cache_hit_v2,300,2,run_matrix_test25_io_read_cache_hit_v2.npy.apf_trajectory.jsonl
26,test26_io_direct_write_like_v2,io_direct_write_like_v2,300,2,run_matrix_test26_io_direct_write_like_v2.npy.apf_trajectory.jsonl
27,test27_thread_lock_contention_v2,thread_lock_contention_v2,300,2,run_matrix_test27_thread_lock_contention_v2.npy.apf_trajectory.jsonl
28,test28_thread_producer_consumer_v2,thread_producer_consumer_v2,300,2,run_matrix_test28_thread_producer_consumer_v2.npy.apf_trajectory.jsonl
29,test29_thread_parallel_alloc_v2,thread_parallel_alloc_v2,300,2,run_matrix_test29_thread_parallel_alloc_v2.npy.apf_trajectory.jsonl
30,test30_mixed_mem_io_v2,mixed_mem_io_v2,300,2,run_matrix_test30_mixed_mem_io_v2.npy.apf_trajectory.jsonl
31,test31_mixed_cpu_mem_v2,mixed_cpu_mem_v2,300,2,run_matrix_test31_mixed_cpu_mem_v2.npy.apf_trajectory.jsonl
32,test32_mixed_cpu_io_v2,mixed_cpu_io_v2,300,2,run_matrix_test32_mixed_cpu_io_v2.npy.apf_trajectory.jsonl
