step_index,test_name,workload,duration_s,rep,traj_file
1,test1_sandbox_ransom_seq,sandbox_ransom_seq,300,3,run_matrix_test1_sandbox_ransom_seq.npy.apf_trajectory.jsonl
2,test2_sandbox_ransom_slowburn,sandbox_ransom_slowburn,300,3,run_matrix_test2_sandbox_ransom_slowburn.npy.apf_trajectory.jsonl
3,test3_sandbox_ransom_selective,sandbox_ransom_selective,300,3,run_matrix_test3_sandbox_ransom_selective.npy.apf_trajectory.jsonl
4,test4_sandbox_ransom_batched,sandbox_ransom_batched,300,3,run_matrix_test4_sandbox_ransom_batched.npy.apf_trajectory.jsonl
5,test5_sandbox_scanner_metadata,sandbox_scanner_metadata,300,3,run_matrix_test5_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
6,test6_mem_workingset_sweep_v2,mem_workingset_sweep_v2,300,3,run_matrix_test6_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
7,test7_mem_mmap_traversal_v2,mem_mmap_traversal_v2,300,3,run_matrix_test7_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
8,test8_mem_pagefault_density_v2,mem_pagefault_density_v2,300,3,run_matrix_test8_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
9,test9_mem_rmw_intensity_v2,mem_rmw_intensity_v2,300,3,run_matrix_test9_mem_rmw_intensity_v2.npy.apf_trajectory.jsonl
10,test10_mem_writemag_sweep_v2,mem_writemag_sweep_v2,300,3,run_matrix_test10_mem_writemag_sweep_v2.npy.apf_trajectory.jsonl
11,test11_app_hashtable_intensive_v2,app_hashtable_intensive_v2,300,3,run_matrix_test11_app_hashtable_intensive_v2.npy.apf_trajectory.jsonl
12,test12_sandbox_ransom_seq,sandbox_ransom_seq,300,4,run_matrix_test12_sandbox_ransom_seq.npy.apf_trajectory.jsonl
13,test13_sandbox_ransom_slowburn,sandbox_ransom_slowburn,300,4,run_matrix_test13_sandbox_ransom_slowburn.npy.apf_trajectory.jsonl
14,test14_sandbox_ransom_selective,sandbox_ransom_selective,300,4,run_matrix_test14_sandbox_ransom_selective.npy.apf_trajectory.jsonl
15,test15_sandbox_ransom_batched,sandbox_ransom_batched,300,4,run_matrix_test15_sandbox_ransom_batched.npy.apf_trajectory.jsonl
16,test16_sandbox_scanner_metadata,sandbox_scanner_metadata,300,4,run_matrix_test16_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
17,test17_mem_workingset_sweep_v2,mem_workingset_sweep_v2,300,4,run_matrix_test17_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
18,test18_mem_mmap_traversal_v2,mem_mmap_traversal_v2,300,4,run_matrix_test18_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
19,test19_mem_pagefault_density_v2,mem_pagefault_density_v2,300,4,run_matrix_test19_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
20,test20_mem_rmw_intensity_v2,mem_rmw_intensity_v2,300,4,run_matrix_test20_mem_rmw_intensity_v2.npy.apf_trajectory.jsonl
21,test21_mem_writemag_sweep_v2,mem_writemag_sweep_v2,300,4,run_matrix_test21_mem_writemag_sweep_v2.npy.apf_trajectory.jsonl
22,test22_app_hashtable_intensive_v2,app_hashtable_intensive_v2,300,4,run_matrix_test22_app_hashtable_intensive_v2.npy.apf_trajectory.jsonl
